"gene","logFC","SE","statistic","P_value","FDR","mean_expression","logCPM","F","PValue"
"KLRC4-KLRK1",-0.0245334157638651,,0.00219898300597415,0.963316466069672,0.997139382272767,0.871028609472369,0.871028609472369,0.00219898300597415,0.963316466069672
"KLRD1",-0.0889525077933733,,0.239851752886122,0.632528573734365,0.968750335997165,5.76765693294929,5.76765693294929,0.239851752886122,0.632528573734365
"KLRF1",0.0337484883734959,,0.00334648321857729,0.954757262189074,0.996560719808715,0.187648458391437,0.187648458391437,0.00334648321857729,0.954757262189074
"KLRG1",0.0154981475919199,,0.00214186345797749,0.963795033057003,0.997139382272767,3.03374181793886,3.03374181793886,0.00214186345797749,0.963795033057003
"KLRK1",0.00042524316042905,,8.25193233061485e-07,0.999289086029084,0.999961612576092,3.12714160892097,3.12714160892097,8.25193233061485e-07,0.999289086029084
"KMO",0.670619663751128,,2.0179565000477,0.179144503841804,0.950898411535146,3.55010372609001,3.55010372609001,2.0179565000477,0.179144503841804
"KMT2A",-0.112719847974825,,0.529459698517593,0.479821227180396,0.951410303355874,7.97682628529305,7.97682628529305,0.529459698517593,0.479821227180396
"KMT2B",0.377278897776584,,4.77157156849143,0.0479832532834749,0.950898411535146,4.19673898575202,4.19673898575202,4.77157156849143,0.0479832532834749
"KMT2C",-0.0225036217147946,,0.0630669169074914,0.805664816441052,0.984714790949959,8.30597035487533,8.30597035487533,0.0630669169074914,0.805664816441052
"KMT2D",0.3711346776767,,4.43065766440514,0.0554578080775076,0.950898411535146,6.65244722998661,6.65244722998661,4.43065766440514,0.0554578080775076
"KMT2E",-0.0691974482781096,,0.51986381785113,0.483750731355029,0.952141645124761,7.26948958454081,7.26948958454081,0.51986381785113,0.483750731355029
"KMT2E-AS1",0.0446040974189985,,0.0178564333025287,0.895766152220681,0.99291295946371,-0.0692553509899323,-0.0692553509899323,0.0178564333025287,0.895766152220681
"KNOP1",0.0357666626301238,,0.0785493201299241,0.783712964831507,0.982428971163371,4.04977314203251,4.04977314203251,0.0785493201299241,0.783712964831507
"KNOP1P2",-0.0667637196070663,,0.0528265387212893,0.82182242185853,0.986776893043122,0.556355176103554,0.556355176103554,0.0528265387212893,0.82182242185853
"KNSTRN",0.218956909229196,,1.46177027684448,0.248325825080478,0.950898411535146,2.26117683205892,2.26117683205892,1.46177027684448,0.248325825080478
"KNTC1",0.317717908371798,,3.40948958097405,0.0878637862424614,0.950898411535146,5.18736389645316,5.18736389645316,3.40948958097405,0.0878637862424614
"KPNA1",-0.0764805428540125,,0.826280743171714,0.380004496042227,0.950898411535146,6.17856742544217,6.17856742544217,0.826280743171714,0.380004496042227
"KPNA2",0.270476188525539,,0.876954163154766,0.366222779270958,0.950898411535146,4.60159085139631,4.60159085139631,0.876954163154766,0.366222779270958
"KPNA3",-0.0591609199252203,,0.186786509700535,0.672734672211673,0.972340828809717,5.62760678579548,5.62760678579548,0.186786509700535,0.672734672211673
"KPNA4",-0.133750272781604,,1.31874315315037,0.271648010520019,0.950898411535146,7.05997111657995,7.05997111657995,1.31874315315037,0.271648010520019
"KPNA5",-0.140894082865993,,0.830586072093,0.378803554873119,0.950898411535146,4.70977026753932,4.70977026753932,0.830586072093,0.378803554873119
"KPNA6",-0.132694519321442,,1.49116290610397,0.24386519544063,0.950898411535146,6.59566175082554,6.59566175082554,1.49116290610397,0.24386519544063
"KPNB1",-0.00598219554333301,,0.00252108224681004,0.960723143988255,0.997139382272767,7.22387309924169,7.22387309924169,0.00252108224681004,0.960723143988255
"KPTN",0.0401962731653592,,0.0120982930776347,0.914112394111777,0.994336816291689,0.0896840307016963,0.0896840307016963,0.0120982930776347,0.914112394111777
"KRAS",-0.0178350717397516,,0.0419405563807652,0.840926075564875,0.989073400613146,5.58587065998618,5.58587065998618,0.0419405563807652,0.840926075564875
"KRBA1",0.107709710437432,,0.300359058035549,0.59300774967529,0.964665614204128,2.16278593554329,2.16278593554329,0.300359058035549,0.59300774967529
"KRBA2",0.188001336619207,,1.28982275432741,0.276723849863383,0.950898411535146,2.56999508480977,2.56999508480977,1.28982275432741,0.276723849863383
"KRBOX1",-0.777762885901508,,3.93299508524396,0.0692317689710472,0.950898411535146,-0.409734572269991,-0.409734572269991,3.93299508524396,0.0692317689710472
"KRBOX4",-0.101806017164597,,1.21665578651763,0.290152073899787,0.950898411535146,3.92636976069641,3.92636976069641,1.21665578651763,0.290152073899787
"KRCC1",-0.245594003682828,,3.28569616692138,0.0931915746893539,0.950898411535146,4.42924437701536,4.42924437701536,3.28569616692138,0.0931915746893539
"KREMEN1",0.186041441903054,,0.873783852611553,0.367063019410794,0.950898411535146,4.05730081014223,4.05730081014223,0.873783852611553,0.367063019410794
"KRI1",0.166242700570102,,1.32045348754026,0.271352997478066,0.950898411535146,3.32476151101617,3.32476151101617,1.32045348754026,0.271352997478066
"KRIT1",-0.149646211426565,,3.08431288156874,0.102724785694214,0.950898411535146,5.62182100077545,5.62182100077545,3.08431288156874,0.102724785694214
"KRR1",-0.174320222784142,,2.58880332766136,0.131787046887373,0.950898411535146,5.95569903252183,5.95569903252183,2.58880332766136,0.131787046887373
"KRR1P1",-0.0714435345945745,,0.22999765858398,0.639552712367778,0.970186164394099,1.02758926482294,1.02758926482294,0.22999765858398,0.639552712367778
"KRT10",-0.0317331695023557,,0.0491237596244649,0.828062560371398,0.987760370475107,1.91815419941513,1.91815419941513,0.0491237596244649,0.828062560371398
"KRT14",0.214760939892349,,0.116164496798493,0.738714237568705,0.977264589146908,3.50952600357998,3.50952600357998,0.116164496798493,0.738714237568705
"KRT15",0.0982617652159805,,0.380445866460382,0.548090790819515,0.960022967276752,1.49617555110173,1.49617555110173,0.380445866460382,0.548090790819515
"KRT16",-0.400274724204555,,0.462282790679445,0.5085690231625,0.955676629167617,1.84967066235623,1.84967066235623,0.462282790679445,0.5085690231625
"KRT17",-0.0443504140238745,,0.00602620906127667,0.939313507868864,0.995802778902088,3.8188913904631,3.8188913904631,0.00602620906127667,0.939313507868864
"KRT17P2",-0.301223634462365,,0.460648747382008,0.509356156658327,0.955676629167617,-0.0692688419962288,-0.0692688419962288,0.460648747382008,0.509356156658327
"KRT18",-0.529686645611955,,1.41523413883461,0.255605121435674,0.950898411535146,4.97535322202098,4.97535322202098,1.41523413883461,0.255605121435674
"KRT18P31",-0.010876821879137,,0.00504040056956711,0.94448909375769,0.995918968206465,2.37552181192367,2.37552181192367,0.00504040056956711,0.94448909375769
"KRT18P4",0.0907117169464091,,0.0958935885852545,0.761778307409784,0.978692727133929,-0.0969509906730444,-0.0969509906730444,0.0958935885852545,0.761778307409784
